molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id
CHEMBL3597065,CCOC(=O)C1=C(Nc2ccc(Cl)cc2)C[C@@H](c2ccc(OC)cc2)N(c2ccc(Cl)cc2)[C@@H]1c1ccc(OC)cc1,IC50,'=',380.19,nM,6.42,CHEMBL3599183
CHEMBL4283651,O=C(Cc1c[nH]c2ccccc12)NCCC1CCN(Cc2ccccc2)CC1,IC50,'=',3550.0,nM,5.45,CHEMBL4255020
CHEMBL4286736,CC(C)(C)c1cc(C(=O)CNCC2CCN(Cc3ccccc3)CC2)cc(C(C)(C)C)c1O,IC50,'=',2440.0,nM,5.61,CHEMBL4274263
CHEMBL4277644,Cc1ccccc1CN1CCC(CCNC(=O)/C=C/c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)CC1,IC50,'=',2510.0,nM,5.6,CHEMBL4274263
CHEMBL4292766,CC(C)(C)c1cc(/C=C/C(=O)NCCC2CCN(Cc3ccccc3F)CC2)cc(C(C)(C)C)c1O,IC50,'=',750.0,nM,6.12,CHEMBL4274263
CHEMBL4648224,O=[N+]([O-])C1C(Cc2c[nH]cn2)NC2(c3ccccc3-c3nc4ccccc4nc32)C1c1ccc(Br)cc1,IC50,'=',16250.0,nM,4.79,CHEMBL4603191
CHEMBL4290236,Cc1coc2c1c(=O)oc(=O)c1c3c(ccc12)C(C)(C)CCC3,IC50,'=',3312.0,nM,5.48,CHEMBL4269805
CHEMBL4112162,CC1=C[C@H]2Cc3nc4cc(Cl)ccc4c(N)c3[C@@H](C1)C2,IC50,'=',13.6,nM,7.87,CHEMBL3887855
CHEMBL4456665,Cc1c(C)c2ccc(OCC3CCCN(Cc4ccccc4)C3)cc2oc1=O.Cl,IC50,'=',1400.0,nM,5.85,CHEMBL5135569
CHEMBL4571763,Cc1c(C)c2ccc(OCC3CCCN(Cc4ccccc4)C3)cc2oc1=O,IC50,'=',1600.0,nM,5.8,CHEMBL5135569
