canonical_smiles,CID,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount
c1ccc2c(CNc3ccnc(N4CCCC4)n3)cccc2c1,46891117,304.4,4.2,41.1,1,4,4
Fc1ccc(/C=N/C2CCN(Cc3ccccc3)CC2)cc1,155541480,,3.7,15.6,0,3,4
Clc1ccc(/C=N/C2CCN(Cc3ccccc3)CC2)cc1,155544490,312.8,4.2,15.6,0,2,4
CC(C)(C)c1cc[n+](CC[n+]2ccc(C(C)(C)C)cc2)cc1.[Br-].[Br-],11576166,458.3,,7.8,0,2,5
CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1ccc(OC)cc1)CCCC3,16098498,393.5,3.9,86.5,2,6,5
CN[C@@H](CCOc1ccc([N+](=O)[O-])cc1)c1ccc(OC(=O)N(C)C)cc1,6918635,373.4,2.9,96.6,1,6,8
CC1(C)CC(=O)C2=C(C1)Nc1nc3c(c(N)c1[C@H]2c1ccc(F)cc1)CCCC3,76315117,391.5,4.4,68.0,2,5,1
CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2[C@H]1c1ccccc1[N+](=O)[O-])CCCC3,76333290,408.4,3.7,123.0,2,7,4
Cc1ccc([C@H]2C3=C(CC(C)(C)CC3=O)Oc3nc4c(c(N)c32)CCCC4)cc1,76318771,388.5,4.6,65.2,1,4,1
CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1cccc(OC)c1)CCC3,76307986,380.4,3.3,83.7,1,6,5
CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1cccs1)CCCCC3,76322452,384.5,4.2,103.0,1,6,4
CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1cccnc1)CCCCC3,76315135,379.5,3.4,87.3,1,6,4
CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1cccnc1)CCCC3,76329644,365.4,2.8,87.3,1,6,4
CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccc(Cl)cc1)CCCC3,44445179,395.9,4.9,78.1,1,5,4
CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccc(F)cc1)CCCC3,10091114,379.4,4.3,78.1,1,6,4
